Country,Year,Life expectancy ,Alcohol,Population
India,2014,68,3.07,1293859294
Indonesia,2014,68.9,0.09,255131116
Iran (Islamic Republic of),2014,75.4,0.01,77470000
Iraq,2014,67.9,0.01,3568
Ireland,2014,81.2,10.75,4617225
Israel,2014,82.2,2.62,82157
Italy,2014,82.5,7.56,678914
Jamaica,2014,75.8,3.83,286287
Japan,2014,83.5,0.01,127276
Jordan,2014,74,0.41,88936
Kazakhstan,2014,69.9,6.29,17289224
Kenya,2014,62.9,0.01,462425
Kiribati,2014,66.1,0.01,11458
Kuwait,2014,74.6,0.01,3691000
Kyrgyzstan,2014,78,0.01,5836000
Lao People's Democratic Republic,2014,65.3,0.01,6640000
Latvia,2014,74.4,0.01,1993782
Lebanon,2014,74.8,1.32,563279
Lesotho,2014,52.1,0.01,2145785
Liberia,2014,58.1,0.01,439737
Libya,2014,72.4,0.01,6362000
Lithuania,2014,73.4,15.19,2932367
Luxembourg,2014,81.7,11.12,556319
Madagascar,2014,65.1,0.01,2358981
Malawi,2014,57.6,0.01,1768838
Malaysia,2014,74.8,0.52,322817
Maldives,2014,78.2,0.01,41
Mali,2014,57.8,0.01,16962846
Malta,2014,81.4,8.49,427364
Mauritania,2014,63,0.01,46392
Mauritius,2014,74.2,0.01,126934
Mexico,2014,76.6,5.26,1242216
Micronesia (Federated States of),2014,69.4,1.58,107444
Mongolia,2014,68.4,0.01,2923896
Montenegro,2014,75.9,0.01,62181
Morocco,2014,74.1,0.43,3431882
Mozambique,2014,56.7,0.01,27212382
Myanmar,2014,66.4,0.01,51924182
Namibia,2014,65.9,0.01,237992
Nepal,2014,69.6,0.01,28323241
Netherlands,2014,81.7,0.01,168658
New Zealand,2014,81.5,9.07,
Nicaragua,2014,74.5,3.55,613997
Niger,2014,61.4,0.01,19148219
Nigeria,2014,53.6,0.01,1764652
Norway,2014,81.6,6.06,5137232
Oman,2014,76.4,0.4,
Pakistan,2014,66.2,0.01,185546257
Panama,2014,77.6,6.74,393986
Papua New Guinea,2014,62.7,0.01,7755785
Paraguay,2014,73.9,0.01,6552584
Peru,2014,75.3,0.01,3973354
Philippines,2014,68.4,4.52,112249
Poland,2014,77.3,10.71,3811735
Portugal,2014,89,9.88,14162
Qatar,2014,78.1,1.15,
Republic of Korea,2014,82,0.01,
Republic of Moldova,2014,71.8,9.99,
Romania,2014,74.8,0.01,1998979
Russian Federation,2014,73,10.12,143819666
Rwanda,2014,65.7,0.01,11345357
Saint Lucia,2014,75,9.97,
Saint Vincent and the Grenadines,2014,73.1,7.01,
Samoa,2014,73.8,0.01,19229
Sao Tome and Principe,2014,67.3,0.01,191266
Saudi Arabia,2014,74.4,0.09,
Senegal,2014,66.4,0.26,14546111
Serbia,2014,75.4,9.09,713576
Seychelles,2014,73,0.01,91359
Sierra Leone,2014,48.1,0.01,779162
Singapore,2014,82.9,1.83,
Slovakia,2014,76.4,10.6,
Slovenia,2014,87,10.46,26198
Solomon Islands,2014,68.8,0.01,57554
Somalia,2014,54.3,0.01,
South Africa,2014,62,7.38,54146734.74
South Sudan,2014,56.6,,1153971
Spain,2014,82.6,0.01,4648882
Sri Lanka,2014,74.7,2.37,2771
Sudan,2014,63.8,0.01,37737913
Suriname,2014,71.4,6.32,547928
Swaziland,2014,58.4,0.01,129597
Sweden,2014,82.3,7.3,969611
Switzerland,2014,83.2,9.61,8188649
Syrian Arab Republic,2014,64.4,0.01,19239
Tajikistan,2014,69.6,0.01,8362745
Thailand,2014,74.6,6.41,68416772
The former Yugoslav republic of Macedonia,2014,75.5,1.13,
Timor-Leste,2014,68,0.01,1212814
Togo,2014,59.7,0.01,7228915
Tonga,2014,73.3,0.01,15782
Trinidad and Tobago,2014,71.1,6.94,1354493
Tunisia,2014,75.1,1.39,1114398
Turkey,2014,75.5,1.45,773628
Turkmenistan,2014,66,2.9,5466241
Uganda,2014,61.5,0.01,38833338
Ukraine,2014,78,8.06,45271947
United Arab Emirates,2014,76.9,1.91,
United Kingdom of Great Britain and Northern Ireland,2014,81,10.37,
United Republic of Tanzania,2014,67,0.01,
United States of America,2014,79.1,8.82,
Uruguay,2014,76.8,6.03,3419546
Uzbekistan,2014,69.2,0.01,37577
Vanuatu,2014,71.7,0.01,25885
Venezuela (Bolivarian Republic of),2014,73.9,6.47,
Viet Nam,2014,75.9,4.09,
Yemen,2014,65.4,0.01,
Zambia,2014,61.1,0.01,1562974
Zimbabwe,2014,59.2,6.5,15411675
